,0
2417,ENCLOSURE BRG HOUSING V22-23
2418,ROUND STK 7.500 CFS
2419,SHIM BRG HSG VA22-23L STL .002
2420,SHIM BRG HSG VA22-23L STL .003
2421,SHIM BRG HSG VA22-23L STL .005
2422,STUD 0.50-13 X 2.00
2423,WASHER PLATE THROW RING
2424,ROUND STK 3.750 CFS
2425,ROUND STK 4.000 CFS
2426,O RING PACKING
2427,THROW RING V22-23 BRZ W/SKIRT
2428,TBG RD 5.500 OD X 2.000 ID BRZ
2429,STOP SAFETY TRIP HANDLE CVB II
2430,BEARING A THRUST RLVA 22L-23E
2431,SPACER BEARING SET 312 A THR
2432,BALL BEARING SKF 7312 BEGAY
2433,YOKE W/FLANGE V23 200 C THR
2434,YOKE V 22/3 4703 X A CI A48 CL30 BO5735
2435,CASING V23L CW 200-201 4PC
2436,CSG V23 A1987
2437,CSG V22L/23L/23E 150# CI    A1987
2438,BEARING HOUSING -COVER END
2439,HSG BRG RLV22 B9445 CI A48CL30
2440,HSG BRG 4821 X CI A48 CL30 C08968
2441,Assembly 02T6713R
2442,COVER 02T6713R V16L CW 200
2443,RLVA16L CCW 201 1.50/3500/4235
2444,FOR CUSTOMER MATERIAL // PLUG EXISTING SECTOR HOLES IN CASING &
2445,FOR CUSTOMER MATERIAL // DISASSEMBLE EXISTING ROTOR-MOUNT & BAL
2446,"FOR CUSTOMER MATERIAL // REMOVE & REPLACE SEATS-MACHINE FOR 1.25"""
2447,NUMBER ### TO GO WITH GOODS // STANDARD RLVA MANUAL
2448,TG13 GOVERNOR FOR REBUILD
2449,Assembly 03H6781
2450,ROTOR  W19 CW .44N0Z  SHP
2451,NOZZLE BLOCK 03H6781 19 CW
2452,NOZZLE .44 NO 220 EXP 1.42
2453,DRAINS FLGD 3PC A19 202 125 S
2454,CVB 2X3 A19-28 202 DD TG 6PORT
2455,HARDWARE SECTOR 19 1PC 201/2 B7
2456,"SENTINEL WARNING VALVE SST 50 PSIG  3/4"""
2457,LAGGING BLANKET RH 19 2 X 3 & 4
2458,SECTOR ASSY 7/16 NOZ
2459,SECTOR BLADING 7/16 NOZ
2460,Assembly 03H6930
2461,BEARING HOUSING B24 EXH HIP2 STAND PIPE
2462,TAPER PIN NO.6 X 2.00 THDD STL
2463,CAP BRG HOUSING EXH B24-28 HIP2
2464,HSG BRG CAP EXH A3207-5 CI A48
2465,BRG HSG LOWER EXH B24-28 HIP2 STAND PIPE
2466,HSG BRG LOW EX A3205D A48 CL30
2467,HOUSING BRG B24 INL 6BOLT HP2 STAND PIPE
2468,CAP BRG HOUSING INL B24-28 HIP2
2469,CAP HSG BRG INL A3206D A48CL30
2470,BRG HSG LOWER INL B24-28 HIP2 STAND PIPE
2471,HSG BRG LOW IN A3204D A48 CL40
2472,HOUSING MTG RLH DD 1PU M18X1 NP
2473,MTG HSG DD (1) M18X1 MAG PICKUP
2474,TRIP LEVER 23E-RLH NICKEL PLATE
2475,ROTOR WB24 CCW .44 HP2
2476,SHAFT ASSY B24-28 FLT 4140 HP2
2477,SHAFT TURB HIGH P2 BALL BRG
2478,KEY .50X3.50 SPECIAL
2479,KEY.50SQ X 3.50 LG
2480,KEY MORTON HP2820 SPCL 2.75LG
2481,WHEEL CCW BROACHED 7/16
2482,NOZZLE BLOCK 03H6630 24 CCW .44NOZ CPB
2483,NOZZLE .44 NO 225 EXP 1.00
2484,NOZZLE BLK BLT MACH 24 CPB SA387
2485,NOZZLE BLOCK BLANK 24/28 SA387
2486,HOUSING SEAL LABY 24-28 HP2 NO COPPER
2487,HOUSING SEAL HP2 OUTER
2488,SHCS 3/8-16UNRC-3A X 2.00 B7
2489,TAPER PIN THD 4 X 1.75 LG
2490,HOUSING SEAL HP2 CAP
2491,SEAL HSG HP2OUTR CA15 PPCP 5250
2492,HOUSING SEAL HP2 LOWER
2493,HOUSING SEAL HP2 INNER
2494,SHCS 3/8-16UNRC-3A X 1.75 B7
2495,HSG SEAL HP2 INN CA15  - PPCP 5251
2496,PARTITION PLATE W/LUGS HIP2
2497,PLATE PARTITION 24 HP2
2498,PIN PARTITION PLATE A24-B24
2499,ROUND STK 0.156 SST
2500,"PACKING SEALANT HP2 RLH STYLE 1600 .125"""
2501,"PACKING SEALANT HP2 RLH STYLE 1600 .25"""
2502,SPRING PIN 3/16 X .50 SST
2503,LABYRINTH SEAL 24 HP2 N/P
2504,LABYRINTH SEAL 24 HIP2 STD
2505,CARBON RING 24 HIP2 3.00
2506,LEAKOFF/FLG DRNS 600# 24-28 HP2 API WC6
2507,ELBOW SOC 1.00 X 90 3000# FST
2508,ELBOW SOC 1.00 X 45 3000# FST
2509,FLANGE SOC 1.00-150RF FST SPCL 125 S
2510,PIPE LEAK-OFF INL 24-28 HP2 SOC WLD
2511,PIPE LEAK-OFF EXH 24-28 HP2 SOC WLD
2512,PIPE 1.000 SCH 160 STL
2513,RLHB24 LUBE OIL SYS RH CASCON - FT2871
2514,STAND PIPE ASSY 3/4NPT 90 ELBW
2515,PIPE CONNECTOR 3/4NPT SCH 80
2516,TUBE DRAIN RLH19 .75
2517,TBG RD 0.750 OD X 0.680 ID STL
2518,STAND PIPE ASSEM B24-28
2519,PIPE CONN OIL DRAIN .75 X 3.00
2520,DRAIN TUBE B24-28
2521,ELBOW F PKR NPT .75 X 90 STL
2522,TM 6-4 WTRHD 68 X 6 BR
2523,CONN M SWG .75T X .50P STL S-1210-1-8
2524,CONN M SWG 1.0T X .75P STL
2525,OIL GAUGE 1/4-90 L/C G104-2 ALUM
2526,PIPE PLUG .50 HEX  HD STL
2527,ELBOW UNION SWG 1T X 90 STL
2528,BRACKET MTG INTEGRAL LUBE TANK H24 RH
2529,TBG RD 0.375 OD X 0.245 ID SST
2530,FLANGE COVER 3-600/10-300
2531,HHCS 1-8UNC-2A X 2.50 GR5
2532,GASKET FLG DISC 10-300#
2533,CVB3 WC6 DD 4PT MP CL6 CASCON PMP SST SL
2534,GASKET SPL WND CG-6L 4.0 347SS
2535,GASKET SPL WND R16C 347SS
2536,GASKET SPL WND 3.5-600 R16K 347SS
2537,GASKET SPL WND R1-6J 3.0 347SS
2538,NUT HEX HVY 7/8-9UNC-2B GR4
2539,HHCS 7/8-9UNC-2A X 3.00 B16
2540,SHCS 7/16-14UNRC-3A X 2.00 B16
2541,STUD 7/8-9UNC-2A X 4.25 LG B16
2542,STUD 7/8-9UNC-2A X 4.75 LG B16
2543,BONNET 3 CVB SA387
2544,PLATE BONNET CVB 3 SA387
2545,CUP VALVE CAGE 3 4PORT
2546,CAGE CUP 3IN 4PT 8104408 CA15 RC 26-32
2547,VALVE BODY CVB3 WC6 600RF03 MP SSTSLEEVE
2548,VALVE BODY CVB3 WC6 600RF03 MP
2549,"BDY VLV COMBO 3"" WC6 MPI SA4426"
2550,GUIDE PINS ASSY KIT HIP2 A24-28 151-300
2551,GUIDE PIN-COVER RLH24-28 HP2
2552,HARDWARE SECTOR 24/28 1PC 202 CPB B16
2553,NUT HEX HVY 5/8-11UNC-2B GR4
2554,HHCS 3/4-10UNC-2A X 2.25 B16
2555,SHCS 3/4-10UNRC-3A X 1.25 B16 FIN HD
2556,STUD SPACER 24/28 B16
2557,HEX AGON STK 1.000 STL
2558,O/S TRIP W/2-14mm EVENT 180 APART
2559,TARGET MAG PICKUP 2/14mm EVENT 180 APART
2560,TURBINE DD HIP2 B24-28 151-300 STD
2561,HHCS 1/2-13UNC-2A X 2.75 GR5
2562,DOWEL PIN .375 X .88 LG STL
2563,DOWEL PIN .188 X .75 LG STL
2564,TAPER PIN NO.8 X 2.50 THDD STL
2565,PLATE FLEX BRG HSG HP2
2566,OIL RING SLEEVE
2567,4PC 24 RH 4.0 151/300CL6CPB MP W/ DRN SF
2568,3PC A24 RH 202 4 HP2 WC6 MP CPB WLD DRN
2569,2PC 24 RH 4X10 HP2  WC6 MP CPB  WLD DRNS
2570,CASING INL 24 4 HP2 CPB WC6 MP WLD DRNS
2571,COUPLING SOC .75 3000 FST
2572,CAP PIPE NPT .75 3000# FST
2573,NIPPLE 3/4 X 1.75LG SC160 STL
2574,NIPPLE .75 X 2.00 SC160 TOE
2575,PIPE DRAIN CHMBR 2 24-28 HP2
2576,PIPE DRAIN CHMBR 3 24-28 HP2
2577,CASING INL H24-28 4.0 HP2 CPB WC6 MP
2578,"CSG INL 24/28 3"",4"" HP2 151-300 WC6 MP"
2579,CSG EXH H24-28 RH HP2 WC6 MP  WLD DRN
2580,NIPPLE .75 X 3.50 TOE SC160 STL
2581,CSG EXH H24-28 RH HP2 WC6 MP  WLD DRNS
2582,CSG EXH 24/28 RH HP2 151-300 WC6 MP
2583,NUT HEX HVY 1.00-8UNC-2B GR4
2584,SHCS 1-8UNC-2A X 3.50 B16
2585,SHCS 1-8UNC-2AX5.00 B16
2586,STUD 1.0 - 8 UNC X 4.6 LG STL B16
2587,SHCS 1-8UNC-2A X 4.50 B16
2588,SHCS 1-8UNC-2A X 6.50 B16
2589,TAPER PIN NO.8 X 4.00 THDD STL
2590,COVER A24-28 HP2 WC6 MP
2591,COV 24/28 HP2 151-300 WC6 MP
2592,Z SEALANT STEAM JOINT ADM OKOM25
2593,"SENTINEL WARNING VLV SST 275 PSIG  3/4"""
2594,CIRC LUBE RH FT2871 [ATTACHED] H19/24/28
2595,LAGGING BLANKET 24 RH 4CVB HP2
2596,OIL PUMP CASCON 0.5 GPM PER 1000 RPM
2597,LABYRINTH SEAL BALL BEARING
2598,TBG RD 5.000 OD X 2.000 ID BRZ
2599,SECTOR ASSY 7/16 NOZ CPB
2600,Assembly 03H6955
2601,HOUSING MTG DD SOL TRIP DUAL TOP/BOT
2602,PIPE CONN OIL DRAIN .75 X 2.25
2603,NIPPLE 3/4 X 2.25LG SC80 STL
2604,ROTOR W19 CW .56N0Z  SHP 4140HT
2605,WHEEL CW NOZ 9/16 BROACHED
2606,NOZZLE BLOCK 03H6955 CW 19 .56
2607,CVB4 DD 202 6PT PROV ACT NO BRACKET
2608,VALVE & STEM ASSY 4.0 CVB 6PT ACT
2609,STEM CUP VALVE 0.56 4.0CVB ACT
2610,BOLT TRIP COLLAR 5776-7300
2611,SPRING COMP C-0600-059-1250S
2612,PIPING OIL LEVEL GAGE INL FOL
2613,ELBOW NPT .38 X 45 MI
2614,PIPING OIL LEVEL GAGE EXH FOL
2615,4PC 19 RH 201 4X8 125FF00 S/FACE
2616,3PC 19 RH 201 4X8 125FF00
2617,CASING 19 RH 1 4X8
2618,CASING EXH 19 0 RH 4X8
2619,CSG EXH 19 RH CI A6021
2620,"MAG PICKUP AIRPAX 70085-1010-469 2.75"""
2621,Assembly 03H7005
2622,BEARING HOUSING A24-28 INL 6B W/CUTOU
2623,BRG HOUSING LOWER INLET END
2624,ROTOR ASSY W 24 CW .75
2625,NOZZLE BLK DRILL  (10)#163 CW 03H7005
2626,NOZ BLK B/MCH 28
2627,NOZ BLK BLANK MCH 28
2628,FLANGE COVER RLHA24-28 6-250
2629,LEVEL GAUGE (EXH END) FOL
2630,LEVEL GAUGE (INL END) FOL
2631,CVB6 A24-28 200 DD TG 6PT
2632,GASKET SPL WND 601 CG-3P
2633,SLEEVE COMBO 6.00 SS
2634,ROUND STK 8.000 SST
2635,VALVE BODY CVB6 F4
2636,"BDY VLV COMBO 6"" CI  A4179"
2637,Z SLEEVE COMBO 6.00 SS (USE 521038900)
2638,SLV CMBO TRP B10389 A743 CA15
2639,HARDWARE SECTOR 24 2PC 200 GR8
2640,HHCS 1/2-13UNC-2A X 2.00 GR8
2641,SHCS 3/4-10UNRC-3A X 1.25
2642,4PC A24-28 RH 200 125FF00 6.0 S/FACE
2643,3PC A24-28 RH 200 6X10
2644,HHCS 3/4-10UNC-2A X 2.75 GR8
2645,HHCS 3/4-10UNC-2A X 4.50 G8
2646,CSG-INL 28 6-250FF 0.75B
2647,"CSG INL 24/28 6"" CI A4029M"
2648,CASING EXH 28 RH 10-125FF
2649,CSG EXH 24/28 RH CI A3754MA
2650,COVER TURB 28 200
2651,COV 24/28 CI A3752MA
2652,ACTUATOR TG17E CW 4001-6000 HORZ
2653,ASCO SOLENOID 220VAC D-ENRGZ NO COPPER
2654,CONTROLLER SPEED 2301A WOODWRD
2655,Assembly 03T6803
2656,OVERSPEED TRIP 20L 200
2657,O/S TRIP VALVE BODY ASSY 2.0VLV
2658,VALVE SEAT 2.00
2659,O/S TRIP VALVE BODY 250FF 2.0VLV
2660,"BDY VLV O/S 2.00"" CI A6816"
2661,GASKET BONNET 2.00
2662,GASKET RING 2.00-300# NON-ASB
2663,THROTTLE A20L 2.00 200
2664,THRT VALVE BODY ASSY 16-20L 2.0
2665,BDY VLV THR 16E/20L CI 4164XA/BO4824
2666,GASKET FLG COVER V20
2667,COVER 03T6803 20L 200 CCW
2668,COV TURB 20 D20TF4
2669,COV 20L CI D20TF4/BO4462
2670,GAUGE BOARD 3PRESS 2TEMP SPD100 WP
2671,HHCS 1/4-20UNC-2A X .62 GR5
2672,FLANGE COVER 20L 200
2673,ROTATION 20L CCW 200
2674,LUBRICATION TRICOS RLA16E-20L W/THERM
2675,NIPPLE 1/4 X 4.75 SC80 STL
2676,Z  VENT PLUG USE 403403200 & 403680404
2677,LAGGING BLANKET LH RLA 20L
2678,THERMOMETER ASH600A FLUSH MTG 50/500F
2679,PRESSURE GAUGE 15HG-5PSI PSI/KPA
2680,PRESSURE GAUGE 110-225PSI PSI/KPA
2681,CASING 20L LH CCW 200 JKSCR
2682,CSG 20 LH B20TF1FB
2683,CSG A20L LH 150# CI  B20TF1FB
2684,Assembly 03T6806
2685,COVER 03T6806 12L 202 CW
2686,ROTATION 12M-12L CW 202
2687,CASING 12M-12L CW RH 202 150FF03 JSCR
2688,Assembly 03T6877
2689,GLAND HOUSING ASSY 22L-23EH CI
2690,GLAND HOUSING INTEGRAL FS
2691,HSG GLD INT A5323 FS CI A278
2692,HSG MTG O/S TRP DD RLHA 2MPU .62 MS CEN
2693,HHCS 5/16-18UNC-2A X 1.25 GR5
2694,RHMS 10-32X1/2
2695,BRACKET MICRO SWITCH EX D-AR-3
2696,PLUG PU 5/8-18 THD STL
2697,HHCS 5/8-18UNF-2A X 1.00 G8
2698,HOUSING MOUNTING COMBO TRIP
2699,COVER 03T6877 202 23E CCW
2700,NOZZLE 113 23E
2701,COV TURB 23E SA2930
2702,COVER 23E SA2930 A216 WCB
2703,BRAKE STEARNS RLA23E
2704,BALL BEARING SKF 6205-2RS
2705,KEY.18SQ X 1.50 LG
2706,RING RETAINING N5000-206
2707,RETAINING RING TRUARC 5100-98
2708,SHCS 3/8-16UNRC-3A X 1.75
2709,COUPLING LOVEJOY AL-075 0.875 X 0.875
2710,BRAKE STEARNS 1-056-116-WO-DUF
2711,PLATE ADAPTOR BRAKE
2712,SHAFT BRAKE ADAPTOR
2713,ROUND STK 1.250 CDS
2714,SPACER BEARING BRAKE
2715,FLANGE COV INL 4X8 HOLE/8-125
2716,CLAPPER VLV CVB4 202 RL23E 600RF W/CL PL
2717,VALVE BODY SHORT CLAPPER 4.0 202
2718,"BDY VLV SHORT CLPR 4"" WCB SA4518"
2719,TURBINE  23EH 0-105 DD HVY SFT MAG/BRAKE
2720,ELBOW ST NPT .50 X 45 150# MI
2721,NIPPLE 1/2 X 4 SC40
2722,PIPE PLUG .50 HEX SOC  STL (403660524)
2723,SHSS 5/16-18 X 1.00 L
2724,WASHER PLATE 23E
2725,SEAL RING 3.00ID X 3.62OD X .345TK
2726,ENCLOSURE BEARING HOUSING-CASING END
2727,ROT CCW 5PC 202 RLA23E
2728,SECTOR ASSY 23 INS W R 1PC
2729,SECTOR ASSY 23 MACH INS W R
2730,SHROUD BAND SECTOR W IN .377
2731,SECTOR ASSY 23 INS W R 4PC
2732,SECTOR ASSY 23 INS W R 2PC
2733,SECTOR ASSY 23 INS W R 3PC
2734,LUBRICATION TRICOS RLA 23EH
2735,LIMIT SWITCH SPDT CENELEC APPVD
2736,COUPLING FLG RLA23EH
2737,ROUND STK 6.250 STL
2738,YOKE 23LH 6312 BEARING
2739,YOKE 23EH CASING END 6314 BEARING
2740,CASING 23E LH 202 CCW 150FF03 JSCR
2741,CASING 23 LH WCB SA1989
2742,CSG A22L/23L/23E LH 150# WCB SA1989
2743,Assembly 03T6883
2744,OVERSPEED TRIP 16L 201-202
2745,THROTTLE A16L 1.50 201-202
2746,"COVER 03T6881,82,83 16L 202 CCW"
2747,SOLENOID TRIP MICROSWITCH RLA
2748,BRACKET MOUNTING MICRO SWITCH
2749,TACHOMETER CENELEC SPD100 RLA /RLH DD
2750,ELBOW UNION 90 #UNL50N
2751,ELBOW .50 NPT CONDUIT ELF90-50
2752,ELBOW STREET .50 NPT CONDUIT
2753,CONDUIT STL .50 RIGID A/R
2754,HHCS 1/4-20UNC-2A X 1.25 GR8
2755,BRACKET SPD100 CENELEC RLH-RLA
2756,MOUNTING HOUSING 16E-23L DD N/P 3-PU
2757,MOUNTING HOUSING A16-23L 3-MPU DD
2758,PLUG HOLE .69D STIMPSON D4728
2759,LOCKWASHER SPG 3/8 STL-ZC
2760,ADAPTER PLATE MTG HOUSING TRISEN
2761,FLAT STK 0.375 X 1.500 CFS
2762,HOUSING MTG A16-23L 3-MPU DD
2763,LEAKOFF 16L-E STRIP/THROT FLGD   150RF03
2764,NIPPLE 1/2 X 4.12 SC80 TOE
2765,TURBINE A16E-20L 3-INPRO NOC0P
2766,"INPRO SEAL 16L, 16E, 20L SST"
2767,LEAK-OFF GLAND HSG 150RF03 RLA/V16L/E
2768,NIPPLE 1/2NPT X 8.00 SC80 TOE
2769,BOLT TRIP COLLAR ASSY 1471-2150  1717RPM
2770,COLLAR O/S TRIP 30T STD RLA
2771,SIGNAL GEAR 30T MAG P/U RLA
2772,GEAR SPUR 10P 30T BRNG NSS1030
2773,ACTUATOR TG13E CCW X P 1100-2400 HORZ
2774,LIMIT SWITCH BX R4L-1C DPDT ATEX
2775,ASCO SOLENOID 24VDC DE-EN NO COPPER
2776,COVER HOUSING MOUNTING RLA/RLVA W/O OPEN
2777,CASING 16L-16E RH 202 150RF03 JKSCR
2778,CASING 202 RH MACH
2779,CSG A16L/A16E RH 150# WCB BO81705
2780,Assembly 03T7058
2781,GLAND HOUSING ASSY 12M-L DI
2782,GLAND HOUSING INTEGRAL RL12 D.I.
2783,HSG GLD INT A5287 A395 DUCTILE
2784,GLAND HOUSING INT
2785,THROTTLE A12L 1.25 WC6 VLV BDY NWR
2786,THRT VALVE BODY ASSY 12 1.25 WC6 202 NWR
2787,BDY VLV THR 12L WC6 SC9666
2788,FLANGE NPT 1.50-600RF FST
2789,NIPPLE 1 1/2 X 2 1/2 WS80
2790,ROTOR 12L CCW DI WHL PMI/4140 SHFT CMTR
2791,SHAFT RLA12M-12L 4140HT CMTR
2792,ROUND STK 1.750 OMTR STL // ***MUST BE PICKED FROM STOCKROOM***
2793,WHEEL ASSY 12M-L CCW DI PMI 450 SS BKTS
2794,"BKT BRO W 0.750 S 450 SST PMI SECT ""C""16"
2795,BKT STOCK WIDE SECT C 450SS  PMI
2796,"BKT BRO W 0.500 S 450 SST PMI SECT ""A"""
2797,BKT STOCK WIDE SECT A 450SS PMI
2798,"SHROUD BAND 12"" WHEEL W OT 1RW 450SST"
2799,SHROUD BAND STK .06 X .625 450SST
2800,"SHROUD BAND 12"" WHEEL W OT 2RW 450SST"
2801,SPCR BKT WHL W 316
2802,LOCK PC BKT WHL 1RW 316
2803,COVER 03T7058 12L 202 CCW NWR
2804,COVER 12L-M 201/2  WC6 MACHINING NWR
2805,COV 12M/12L WC6
2806,WTR CLG FLG/VLV 12L .50-150RF03 SST PIPE
2807,ELBOW NPT .50 X 90 150# 316 SST
2808,ELBOW ST NPT .38 X 90 316 SST 150#
2809,FLANGE NPT .50-150RF03 316 SST
2810,NIPPLE 1/2 X 2.00 SC80 SS
2811,NIPPLE 1/2X1.50 312SS
2812,NIPPLE .50 X 2.25 SC80 SS
2813,NIPPLE .50 X 9.00 SC80 316SST
2814,NIPPLE .50 NPT X 11.13 SC80   316SST
2815,NIPPLE .50 X 3.00 SC80 316SST
2816,NIPPLE 1/2 X 1.12 SCH80 316 SST
2817,NIPPLE 1/2 X 4.25 SCH80 316 SST
2818,NIPPLE 1/2 X 6.75 SCH80 316 SST
2819,NIPPLE 1/2 X 7.25 SCH80 316 SST
2820,BUSHING RED HEX NPT .50 X .38 SS-8-RA-6
2821,UNION NPT .50 150# 316 SST
2822,VALVE GLOBE 1/2 NPT VOGT 12501 316SST
2823,INDICATOR-SIGHT FLOW FLAPPER 316 SST
2824,AIR CYLTRIP MTG RLV/RLVA LMT BRKT & SWCH
2825,ADAPTER RED CAJON RED NPT.25 X .12 STL
2826,PIPE PLUG .12 SOC HD STL
2827,NUT HEX JAM 7/16-20
2828,NUT HEX JAM 3/4-16
2829,BRACKET AIR CYLINDER MOUNTING
2830,ANGLE 2.00 X 1.50 X 0.250 STL
2831,HOUSING MTG 12M/12L DD 1PU NO COPPER
2832,LEAK-OFF O/S TRIP/THROT FLGD-03 12L
2833,OVERSPEED TRIP 12L 202 WC6 NWR
2834,O/S TRIP VALVE BODY 12L-16L 1.50 WC6 NWR
2835,"BDY VLV O/S 1.50"" WC6 - PPCP 5248"
2836,ROTATION 12 CCW 202 W/PMI 450 SCTR BLADE
2837,SECTOR AV12M-L CCW 450 SST BLADES W/PMI
2838,SECTOR ASSY 12 CCW 450SST BKTS W/PMI
2839,"BKT BRO W 0.625 L 450SS PMI SECT ""B"""
2840,BKT STOCK WIDE SECT B 450SS PMI
2841,SHROUD BAND SECT 450SS 5/8BKT 12L
2842,LEAKOFF GLAND HOUSING 12 FLG 125AARH
2843,UNION SWG SOC .75T X .75P SST
2844,PIPE 1/2 SC80 A312 304 STST
2845,TBG RD 0.750 OD X 0.532 ID STL
2846,CYLDR CLIPPARD CRR-24-01-V SPRG EXTEND
2847,LIMIT SWITCH BX R3K-1C SPDT ATEX
2848,SOLENOID VALVE 48 VDC ATEX  II2G
2849,TACHOMETER DYN SPD100 ATEX M180 SHORT
2850,BUMPER PNEUMATIC CYLINDER SOLENOID TRIP
2851,ROUND STK 1.500 PLAS (SHORE D OKAY)
2852,CASING 12L WCB RH CCW 150RF03 JKSCW NWR
2853,CASING 12M-12L RH 202 150 FLG NWR
2854,Assembly 04H7087
2855,HSG BRG INL A24-28 6B.50 RTD&VIB CUTOUT
2856,BRG HSG A24/28 EXH 6BOLT .50VIB .50RTD
2857,ROTOR W24 CW .75 MILL WHL UT SHFT UT B-D
2858,SHAFT ASSY A24-28 FLAT 4140HT B-D UT
2859,SHAFT A24-28 FLAT 4140HT B-D UT
2860,WHEEL ASSY MILLED 3/4 UT
2861,"NOZZLE BLOCK 04H7087,88 24 CW .75"
2862,NOZ NO-260 EXP-1.77
2863,AIR CYLINDER TRIP MTG RLH-23E
2864,DRAINS VLV 3PC A24 202  PG TEE
2865,COUPLING RED NPT .75 X .50 FS #3000
2866,NIPPLE 3/4 X 1.75 SC160TOE
2867,NIPPLE .75 X 1.50 LG TOE SC160
2868,PIPING OIL FEED 24 LUFKIN 3RD
2869,CONN MPW SWG .75T X .75P
2870,FLANGE SLP .75-150RF FST
2871,DRAIN HDR OIL A24 LH  API3 SHFT END 1.5T
2872,TEE ASSEMBLY THERMOWELL 1.50 SST
2873,TEE SOC 1.50 3000# SST
2874,ADAPTER THERMOWELL
2875,ROUND STK 2.000 SST
2876,ELBOW SOC 1.00 X 90 3000#    304SST
2877,ELBOW SOC 1.00 X 45 3000# SST
2878,ELBOW SOC 1.50 X 90 3000# SST
2879,FLANGE SLP 1.00-150RF FST
2880,FLANGE SLP 1.50-150RF FST
2881,NIPPLE 1 X 2.00 SC80 TOE SST SEAMLESS
2882,INSERT RED SOC 1.50 X 1.00    304SST
2883,GASKET SPL WND 1.0-150 CG-1D
2884,THERMOWELL ASH 75W0250ST260C SST
2885,THERMOMETER ASH BI-METAL
2886,INDICATOR SIGHTFLOW 1.00-150RF SST
2887,PIPE 1.000 SCH 80 SST
2888,PIPE 1.500 SCH 40 SST
2889,B/M SUP FD HDR PIPG 24 201
2890,STRAP CONDUIT 1/2 14-50S
2891,SHCS 1/4-20UNRC-3A X .50
2892,SUPPORT-PIPE FEED HDR PPG
2893,ANGLE 1.25 X 1.25 X 0.125 STL
2894,SUPPORT PIPE LEFT
2895,DRAINS 6.00 CVB FLGD/VLVD 600RF03
2896,GAUGEBOARD INLET/CHEST PRESSURE
2897,GAUGEBOARD 2 PRESS GA
2898,PIPE STAND 2.00 X 40.00 TOE
2899,CVB6 A24-28 202 VALTEK 50 ACT 6PT
2900,VALVE & STEM ASSY 6.0 CVB 585 ACT
2901,STEM CUP VALVE 6.0 CVB ACT
2902,LOCKNUT N-13 STL
2903,HHCS 1-8UNC-2A X 4.25 B7
2904,NUT HEX 1/2-20UNF-2B GR8
2905,BRACKET MTG 6CVB VALTEK 50 ACT
2906,CONNECTOR STEM ACTUATOR VALTEK
2907,HEXAGON STK 0.750 CFS
2908,BLOCK STEM 4CVB RLHA
2909,SQUARE STK 1.250 SST
2910,ROD END BALL TSFX-8 SPECIAL
2911,ROD END BALL TSFX 8 HIGH TEMP HEAVY DUTY
2912,PIN CLEVIS ACTUATOR MTG
2913,ROUND STK 0.875 CDS
2914,4PC A24-28 LH 201 125FF00 6.0 S/FACE
2915,3PC A24-28 LH 201 6X10
2916,CASING 28 LH 6CVB-10
2917,CASING-INL 28 6-600RF 3/4 B
2918,CASING-EXH 28 LH 10-125FF 0.75B
2919,CSG EXH 24/28 LH CI A3776MA
2920,FLANGE WNK 10.0-150FF03 FST A105
2921,MAG PICKUP AIRPAX 70085-1010-406 ATEX
2922,LAGGING BLANKET LH 24 6.0 INL
2923,SOLENOID VALVE 24VDC Int. Safe ATEX CCOE
2924,"VALTEK 50  ACT 2"" STRK 4-20ma CCOE I/P"
2925,"RTD SNGL ELEM EXT 9.5"" A24 IP65 CCOE"
2926,PROXIMITY PROBES B-N 3300 NSv DIN RAIL
2927,PRESSURE GAUGE 550-1050PSI PSI/KG
2928,GOVERNOR PEAK 150 90-150 VDC/VAC MODBUS
2929,"SHIM SET PDSTL 6CVB FLEXPLATE  0.25"" 24"
2930,Assembly 04H7091
2931,NOZZLE BLOCK 04H7091 24 CW .75
2932,NOZ NO-263 EXP-1.30
2933,CVB6 A24-28 200 DD TG 9PT
2934,ASCO SOLENOID 220VAC D-ENRGZ
2935,CONTROLLER SPEED 2301A & LOAD CNTRL
2936,CONTROL TRANSFORMER 220/120VAC
2937,Assembly 04H7126
2938,BEARING HSG A24 INL 6B .25RTD .50VIB HP2
2939,HOUSING BRG A24 INL 6BOLT HP2 TPR PIN
2940,BRG HOUSING LOWER INLET 24 6 BLT TPR PIN
2941,CAP BRG HOUSING INLET 6-BOLT 24
2942,BEARING HSG A24 EXH 6B .25RTD .50VIB HP2
2943,HOUSING BRG A24 EXH 6BOLT HP2 TPR PIN
2944,BRG HOUSING LOWER EXH 24 6 BLT TPR PIN
2945,CAP BRG HOUSING EXHAUST 6-BOLT 24
2946,SECTOR ASSY A24 1PC .44 NOZ
2947,SECTOR .44 NOZ SPNC
2948,SHROUD BAND SECTOR .44NOZ BRCH
2949,HSG RLH DD 2 5/8PU 1/2NPT KYPHSR NO COP
2950,ROTOR W24 CCW .44NZ  HP2 CMTR UT MP
2951,SHAFT ASSY A24 4140  B&D HP2 CERTS MP UT
2952,SHAFT ASSY A24  4140 B&D HP2 CERTS MP UT
2953,ROUND STK 3.500 OMTR STL
2954,WHEEL CCW BROACHED 7/16 MP UT
2955,WHEEL MACHINING NOZ 7/16 BROACHED MP UT
2956,NOZZLE BLOCK 04H7126 CCW .44NOZ EXT
2957,NOZZLE BLOCK BOLT MACHINING EXT STL
